movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time,Description
"Bridge to Terabithia",2007,5560100,25000000,82234139,55750649,2007-01-01,Fantasy,"Based on Fiction Book/Short Story","Live Action",Drama,0,94,NULL
War,2007,23310100,25000000,22486409,18200000,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,103,NULL
"The Conspirator",2010,141940100,25000000,11538204,4369207,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,122,NULL
"Shark Night 3D",2011,152270100,25000000,18877153,13332588,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,85,NULL
"The Grey",2011,145050100,25000000,51580136,29669040,2011-01-01,"Contemporary Fiction","Original Screenplay","Animation/Live Action",Thriller/Suspense,0,117,NULL
"The Box",2009,115470100,25000000,15051977,11289919,2009-01-01,Fantasy,"Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,115,NULL
""Legally Blonde 2: Red",0,2003,4850100,25000000,90168825,34700000,2003-01-01,"Contemporary Fiction","Original Screenplay","Live Action",0,1,NULL
"Parental Guidance",2012,168850100,25000000,77267296,43565087,2012-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,104,NULL
"On the Road",2010,143130100,25000000,720828,8592474,2010-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,125,NULL
"Agent Cody Banks",2003,11670100,25000000,47545060,10695398,2003-01-01,"Kids Fiction","Original Screenplay","Live Action",Comedy,0,102,NULL
"Jane Got a Gun",2014,200410100,25000000,1513793,1317984,2014-01-01,"Historical Fiction","Original Screenplay","Live Action",Western,0,98,NULL
"The 33",2015,229970100,25000000,12227722,15855910,2015-01-01,Dramatization,"Based on Factual Book/Article","Live Action",Drama,0,120,NULL
"August:  Osage County",2010,150420100,25000000,37738810,13000000,2010-01-01,"Contemporary Fiction","Based on Play","Live Action","Black Comedy",0,119,NULL
"Straw Dogs",2010,105290100,25000000,10324441,929380,2010-01-01,"Contemporary Fiction",Remake,"Live Action",Thriller/Suspense,0,110,NULL
"Don't Be Afraid of the Dark",2010,137940100,25000000,24046682,15079745,2010-01-01,"Contemporary Fiction",Remake,"Live Action",Horror,0,100,NULL
"Ride Along",2011,148380100,25000000,134202565,19530700,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,100,NULL
"Million Dollar Arm",2013,196280100,25000000,36447959,2769953,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,123,NULL
Taken,2009,1960100,25000000,145000989,81940596,2009-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,91,NULL
Warrior,2010,135940100,25000000,13657115,10558270,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,139,NULL
"Cradle 2 the Grave",2003,16390100,25000000,34657731,21777211,2003-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,99,NULL
"My Soul to Take",2010,139540100,25000000,14744435,1983035,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Horror,0,107,NULL
"She's the Man",2006,16720100,25000000,33687630,21390449,2006-01-01,"Contemporary Fiction","Based on Play","Live Action","Romantic Comedy",0,105,NULL
"The Counselor",2013,186790100,25000000,16973715,54035619,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,111,NULL
"Draft Day",2014,200850100,25000000,28842237,434667,2014-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,109,NULL
"No Strings Attached",2010,146720100,25000000,70662220,78565858,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,106,NULL
BloodRayne,2006,54100100,25000000,2405420,1200000,2006-01-01,Fantasy,"Based on Game","Live Action",Action,0,92,NULL
"The Giver",2014,197720100,25000000,45090374,10000000,2014-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,97,NULL
"No Country for Old Men",2007,6530100,25000000,74273505,89777745,2007-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Action,0,122,NULL
"Cirque du Soleil: Worlds Away",2012,173670100,25000000,12512862,15500000,2012-01-01,Fantasy,"Original Screenplay","Live Action",Drama,0,91,NULL
"Punch-Drunk Love",2002,27220100,25000000,17791031,6800000,2002-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,97,NULL
"Les petits mouchoirs",2011,171480100,25000000,205505,48325382,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,154,NULL
Carnage,2011,160480100,25000000,2546747,35565407,2011-01-01,"Contemporary Fiction","Based on Play","Live Action",Drama,0,79,NULL
"The Lucky One",2011,147300100,25000000,60457138,36176695,2011-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,81,NULL
"The Losers",2010,110770100,25000000,23591432,6272408,2010-01-01,"Contemporary Fiction","Based on Comic/Graphic Novel","Live Action",Action,0,97,NULL
"The Help",2010,144320100,25000000,169705587,43414417,2010-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,137,NULL
W.,2008,21140100,25100000,25534493,3041285,2008-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,129,NULL
"The Constant Gardener",2005,16860100,25500000,33579798,52721801,2005-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,129,NULL
"Paul Blart: Mall Cop",2009,1920100,26000000,146336178,39568572,2009-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,91,NULL
"Pain & Gain",2012,148310100,26000000,49875291,31400000,2012-01-01,"Contemporary Fiction","Based on Real Life Events","Live Action",Action,0,129,NULL
"The Fifth Estate",2013,186900100,26000000,3254172,2900000,2013-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,128,NULL
Lawless,2011,166970100,26000000,37397291,16996346,2011-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,115,NULL
"Freaky Friday",2003,3580100,26000000,110222438,50600000,2003-01-01,"Contemporary Fiction",Remake,"Live Action",Comedy,0,97,NULL
"Blood Ties",2013,200840100,26000000,42472,2881487,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,128,NULL
Self/Less,2015,193810100,26000000,12279691,15238669,2015-01-01,"Science Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,117,NULL
"In Good Company",2004,12210100,26000000,45489752,18000000,2004-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,110,NULL
"The Best of Me",2014,199460100,26000000,26766213,1100000,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,118,NULL
"The Raven",2011,161080100,26000000,16008272,14593529,2011-01-01,"Historical Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,111,NULL
Legion,2010,125900100,26000000,40122938,27479494,2010-01-01,Fantasy,"Original Screenplay","Live Action",Thriller/Suspense,0,104,NULL
"The 40 Year-old Virgin",2005,3630100,26000000,109243478,67894993,2005-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,116,NULL
"The Pineapple Express",2008,5110100,26000000,87341380,15062639,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,112,NULL
"New Year’s Eve",2011,143790100,26000000,54544638,92305635,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,117,NULL
Limitless,2010,139010100,27000000,79249455,76315464,2010-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,105,NULL
Mindhunters,2005,47840100,27000000,4476235,12090000,2005-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,106,NULL
"Spy Kids: All the Time in the World",2011,143870100,27000000,38536376,42144807,2011-01-01,"Kids Fiction","Original Screenplay","Live Action",Adventure,1,89,NULL
"Case 39",2010,120400100,27000000,13261851,15511976,2010-01-01,Fantasy,"Original Screenplay","Live Action",Horror,0,109,NULL
"Lucky Number Slevin",2006,23280100,27000000,22495466,33000000,2006-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,110,NULL
"My Sister's Keeper",2009,11280100,27500000,49200230,47472772,2009-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,109,NULL
Anonymous,2011,141220100,27500000,4463292,11352217,2011-01-01,"Historical Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,130,NULL
"Joyful Noise",2011,149620100,27500000,30932113,225801,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Musical,0,0,NULL
"Notes on a Scandal",2006,27520100,27500000,17510118,33068293,2006-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,92,NULL
"Knocked Up",2007,1850100,27500000,148761765,70504187,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,132,NULL
"Pride and Prejudice and Zombies",2015,150880100,28000000,10907291,5268177,2015-01-01,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Black Comedy",0,107,NULL
Zoolander,2001,12270100,28000000,45172250,15608731,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,89,NULL
"The Royal Tenenbaums",2001,10310100,28000000,52353636,19077240,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Black Comedy",0,108,NULL
"30 Minutes or Less",2011,140620100,28000000,37053924,3912792,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,83,NULL
"Safe Haven",2011,162070100,28000000,71399120,22651831,2011-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,115,NULL
"Dawn of the Dead",2004,8840100,28000000,58990765,44462110,2004-01-01,"Science Fiction",Remake,"Live Action",Horror,0,100,NULL
"Role Models",2008,7420100,28000000,67294270,27199871,2008-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,99,NULL
Kick-Ass,2010,121460100,28000000,48071303,49459831,2010-01-01,"Contemporary Fiction","Based on Comic/Graphic Novel","Live Action","Black Comedy",0,117,NULL
""Alexander and the Terrible",0,0,0,2013,193510100,28000000,66954149,34425138,2013-01-01,"Kids Fiction",0,"Live Action",NULL
"Kick-Ass 2",2013,147410100,28000000,28795985,34333924,2013-01-01,"Contemporary Fiction","Based on Comic/Graphic Novel","Live Action",Action,0,103,NULL
"3 Days to Kill",2013,192720100,28000000,30697999,8261901,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,100,NULL
"Straight Outta Compton",2015,209580100,28000000,161058685,40286034,2015-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,146,NULL
"The Big Short",2015,222070100,28000000,70259870,61200000,2015-01-01,"Historical Fiction","Based on Factual Book/Article","Live Action",Drama,0,130,NULL
"Our Brand is Crisis",2014,214770100,28000000,7002261,1590171,2014-01-01,"Contemporary Fiction","Based on Movie","Live Action",Drama,0,100,NULL
"Last Vegas",2013,181410100,28000000,63914167,49000000,2013-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,104,NULL
"Brick Mansions",2014,203520100,28000000,20396829,53024395,2014-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,89,NULL
"A Walk Among the Tombstones",2013,198720100,28000000,26017685,36090902,2013-01-01,"Historical Fiction","Based on Fiction Book/Short Story","Live Action",Action,0,113,NULL
"No Reservations",2007,12850100,28000000,43107979,48835977,2007-01-01,"Contemporary Fiction",Remake,"Live Action","Romantic Comedy",0,101,NULL
"Along Came a Spider",2001,129950100,28000000,74058698,31100387,2001-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Thriller/Suspense,0,103,NULL
Serendipity,2001,10970100,28000000,50255310,25038826,2001-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,92,NULL
"We Own the Night",2007,19510100,28000000,28563179,26744678,2007-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,118,NULL
Identity,2003,10390100,28000000,52131264,30052419,2003-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,88,NULL
"The Boss",2015,221750100,29000000,57150445,10783589,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,99,NULL
"Pitch Perfect 2",2014,203050100,29000000,183785415,103209963,2014-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Comedy,1,115,NULL
"Confessions of a Dangerous Mind",2002,29250100,29000000,16003576,17006087,2002-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Drama,0,113,NULL
Frost/Nixon,2008,26540100,29000000,18622031,9830914,2008-01-01,Dramatization,"Based on Play","Live Action",Drama,0,122,NULL
"Walk the Line",2005,3080100,29000000,119519402,68188093,2005-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,136,NULL
"The Corpse Bride",2005,10070100,30000000,53359111,61411543,2005-01-01,Fantasy,"Based on Folk Tale/Legend/Fairytale","Stop-Motion Animation",Adventure,0,76,NULL
"The Cabin in the Woods",2010,118220100,30000000,42073277,28694867,2010-01-01,Fantasy,"Original Screenplay","Live Action",Thriller/Suspense,0,95,NULL
"Letters to Juliet",2010,111850100,30000000,53032453,29116085,2010-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Drama,0,105,NULL
"The Five-Year Engagement",2011,140720100,30000000,28700285,32923534,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,124,NULL
"The Next Three Days",2010,138890100,30000000,21148651,46107265,2010-01-01,"Contemporary Fiction",Remake,"Live Action",Thriller/Suspense,0,133,NULL
"Lee Daniels' The Butler",2011,149520100,30000000,116632095,60393403,2011-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,132,NULL
"Hope Springs",2011,146300100,30000000,63536011,69549284,2011-01-01,"Contemporary Fiction","Original Screenplay","Live Action","Romantic Comedy",0,100,NULL
"SpongeBob SquarePants: The Movie",2004,5220100,30000000,85416609,56634646,2004-01-01,"Kids Fiction","Based on TV","Hand Animation",Adventure,0,88,NULL
Southpaw,2015,222920100,30000000,52421953,36301038,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,124,NULL
"Machine Gun Preacher",2010,147590100,30000000,538690,3183298,2010-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,123,NULL
"Wild Card",2014,205520100,30000000,3200,925957,2014-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Action,0,92,NULL
"About Schmidt",2002,7840100,30000000,65005217,42049267,2002-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,124,NULL
"Dodgeball: A True Underdog Story",2004,3360100,30000000,114326736,53464968,2004-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,0,92,NULL
"Get on Up",2014,196800100,30000000,30569935,2745869,2014-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,138,NULL
Entourage,2015,145960100,30000000,32363404,13861922,2015-01-01,"Contemporary Fiction","Based on TV","Live Action",Comedy,0,104,NULL
"Love and Other Drugs",2010,134560100,30000000,32367005,70349316,2010-01-01,"Contemporary Fiction","Based on Factual Book/Article","Live Action",Drama,0,112,NULL
Looper,2011,145030100,30000000,66486205,103980200,2011-01-01,"Science Fiction","Original Screenplay","Live Action",Action,0,119,NULL
"Step Up 3D",2010,129200100,30000000,42400223,123488894,2010-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,1,97,NULL
"The Assassination of Jesse James by the Coward Robert Ford",2007,49520100,30000000,3909149,11404482,2007-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Western,0,160,NULL
"Midnight in Paris",2010,142540100,30000000,56816662,106126173,2010-01-01,Fantasy,"Original Screenplay","Live Action","Romantic Comedy",0,94,NULL
"Barney's Version",2009,110420100,30000000,7502560,1343015,2009-01-01,Dramatization,"Based on Fiction Book/Short Story","Live Action",Drama,0,132,NULL
"District 9",2009,3460100,30000000,115646235,96807196,2009-01-01,"Science Fiction","Original Screenplay","Animation/Live Action",Thriller/Suspense,0,111,NULL
"The Imaginarium of Doctor Parnassus",2009,119330100,30000000,7689607,56663000,2009-01-01,Fantasy,"Original Screenplay","Live Action",Adventure,0,122,NULL
"Four Brothers",2005,6500100,30000000,74494381,18000000,2005-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Drama,0,109,NULL
Supercross,2005,51670100,30000000,3102550,150000,2005-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Action,0,80,NULL
"The Whole Ten Yards",2004,28780100,30000000,16323969,10000000,2004-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Comedy,1,98,NULL
Sicario,2015,223840100,30000000,46889293,31682444,2015-01-01,"Contemporary Fiction","Original Screenplay","Live Action",Thriller/Suspense,0,121,NULL
"Million Dollar Baby",2004,4270100,30000000,100422786,131524199,2004-01-01,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action",Drama,0,132,NULL
"North Country",2005,26750100,30000000,18324242,5352529,2005-01-01,Dramatization,"Based on Real Life Events","Live Action",Drama,0,123,NULL
